Index|Afrikaans|Albanais|Allemand|Anglais|Arabe|Azéri|Basque|Biélorusse|Bosniaque|Bulgare|Catalan|Cebuano|Chichewa|Corse|Créole haïtien|Croate|Danois|Espagnol|Espéranto|Estonien|Finnois|Français|Frison|Gaélique (Écosse)|Galicien|Gallois|Grec|Haoussa|Hawaïen|Hmong|Hongrois|Igbo|Indonésien|Irlandais|Islandais|Italien|Javanais|Kazakh|Kinyarwanda|Kirghiz|Kurde|Latin|Letton|Lituanien|Luxembourgeois|Macédonien|Malaisien|Malgache|Maltais|Maori|Mongol|Néerlandais|Norvégien|Ouïgour|Ouzbek|Pachtô|Persan|Philippin|Polonais|Portugais|Roumain|Russe|Samoan|Serbe|Sesotho|Shona|Sindhî|Slovaque|Slovène|Somali|Soundanais|Suédois|Swahili|Tadjik|Tatar|Tchèque|Turc|Turkmène|Ukrainien|Urdu|Vietnamien|Xhosa|Yorouba|Zoulou
I|Ek|Une|ich|I|أنا|Mən|Nik|Я|Ja|Аз|Jo|Ako|Ine|I|Mwen|Ja|jeg|I|Mi|Mina|Minä|je|ik|I.|Eu|I.|Εγώ|Ni|ʻO wau|Kuv|én|M|saya|I.|Ég|io|Aku|Мен|I.|I|ez|ego|Es|Aš|Ech|Јас|Saya|aho|Jien|Ko au|Би|ik|Jeg|مەن|Men|زه|من|Ako|ja|eu|Eu|я|O aʻu|Ја|Ke|Ini|مان|Ja|jaz|Aniga|abdi|Jag|Mimi|Ман|Мин|Já|ben|Men|Я|میں|Tôi|Mna|Emi|Mina
you|jy|ti|Sie|you|أنت|Sən|zuk|вы|ti|Вие|vostè|ikaw|inu|tù|ou menm|vas|du|usted|vi|sina|sinä|toi|jo|thu|ti|ti|εσείς|kai|ʻo ʻoe|koj|Ön|gị|kamu|tú|þú|voi|sampeyan|сен|wowe|сен|hûn|vos|jūs|tu|Dir|ти|awak|ianareo|int|koe|Та|u|du|سىز|siz|تاسو|شما|ikaw|ty|vocês|tu|ты|oe|ти|uena|iwe|توهان|ty|ti|adiga|anjeun|du|wewe|шумо|син|vy|sen|sen|ти|تم|bạn|wena|ìwọ|wena
he, she, it|hy, sy, dit|ai ajo|er sie es|he, she, it|ضمير الغائب|o, o, o|bera, bera, hura|ён, яна, гэта|on, ona, to|той Тя То|ell ella aixo|siya, siya, kini|iye, iye, izo|ellu, ella, ella|li, li, li|on ona ono|han hun det|él ella eso|li Ŝi Ĝi|ta ta ta|hän hän se|il Elle Ça|hy, sy, it|e, i, e|el, ela, ela|ef, hi, it|αυτός αυτή αυτό|shi, ita, shi|ʻo ia, ʻo ia, ʻo ia|nws, nws, nws|ő ő ő|ọ, ọ, ya|Dia dia itu|sé, sí, é|hann hún það|lui lei esso|dheweke, dheweke, iku|ол, ол, ол|we, she, it|ал, ал, ал|Ew ji wê re eve|ille illa illud|viņš, viņa, tā|jis ji tai|hien, hatt, et|тој, таа, тоа|dia dia itu|izy|hu, hi, dan|ia, ia, na|тэр, тэр, тэр|hij zij het|han, hun, det|he, she, it|u, u, u|هغه ، هغه ، دا|او ، او ، آن است|siya, siya, ito|on ona ono|ele Ela isso|el, ea, ea|он она оно|o ia, o ia, o|он она то|eena, eena, eona|iye, iye, izvo|هي ، هن ، اهو|on, ona, to|on, ona, to|isagu, iyadu, waa|anjeunna, manehna, éta|han Hon det|yeye, yeye, ni|ӯ, вай, он|ул, ул|on, ona, to|o, o, o|Ol, ol|він, вона, це|وہ ، وہ ، یہ|anh ấy, cô ấy, nó|yena, yena, yiyo|oun, obinrin, oun|yena, yena, kuso
we|ons|ne|wir|we|نحن|Biz|guk|мы|mi|ние|nosaltres|kami|ife|noi|nou|mi|vi|nosotros|ni|meie|me|nous|wy|sinn|nós|ni|εμείς|mu|mākou|peb|mi|anyị|kita|muid|við|noi|kita|біз|twe|биз|em|nobis|mēs|mes|mir|ние|kami|iSIKA|aħna|matou|бид|wij|vi|بىز|biz|موږ|ما|kami naman|my|nós|noi|мы|matou|ми|rona|isu|اسين|my|mi|anaga|urang|vi|sisi|мо|без|my|Biz|biz|ми|ہم|chúng tôi|thina|awa|thina
you|jy|ti|Sie|you|أنت|Sən|zuk|вы|ti|Вие|vostè|ikaw|inu|tù|ou menm|vas|du|usted|vi|sina|sinä|toi|jo|thu|ti|ti|εσείς|kai|ʻo ʻoe|koj|Ön|gị|kamu|tú|þú|voi|sampeyan|сен|wowe|сен|hûn|vos|jūs|tu|Dir|ти|awak|ianareo|int|koe|Та|u|du|سىز|siz|تاسو|شما|ikaw|ty|vocês|tu|ты|oe|ти|uena|iwe|توهان|ty|ti|adiga|anjeun|du|wewe|шумо|син|vy|sen|sen|ти|تم|bạn|wena|ìwọ|wena
they|hulle|ata|Sie|they|أنهم|onlar|haiek|яны|oni|те|ells|sila|iwo|elli|yo|oni|de|ellos|ili|nad|ne|elles ou ils|sy|iad|eles|nhw|αυτοί|su|lākou|lawv|ők|ha|mereka|siad|þeir|essi|dheweke|олар|bo|алар|ew|quod|viņi|jie|si|тие|mereka|izy ireo|huma|ratou|тэд|ze|de|ئۇلار|ular|دوی|آنها|sila|one|eles|ei|Они|latou|они|bona|ivo|اهي|oni|oni|iyagu|aranjeunna|de|wao|онҳо|Алар|ony|onlar|Olar|Вони|وہ|họ|bona|àwọn|bona
this|hierdie|kjo|diese|this|هذا|bu|hau|гэта|ovo|това|això|kini|ichi|questu|sa a|ovaj|det her|esto|ĉi tio|seda|Tämä|cette|dit|seo|isto|hyn|Αυτό|wannan|kēia|qhov no|ez|nke a|ini|seo|þetta|Questo|iki|бұл|iyi|бул|ev|haec|šo|tai|dëst|ова|ini|izany|dan|tenei|энэ|dit|dette|بۇ|bu|دا|این|ito|to|esta|acest|это|lenei|ово|sena|ichi|هي|toto|to|tan|ieu|detta|hii|ин|бу|tento|bu|Bu|це|یہ|điều này|le|eyi|lokhu
that|daardie|se|Das|that|الذي - التي|ki|hori|што|to|че|això|kana|kuti|quellu|sa|da|at|que|tio|seda|että|cette|dat|sin|iso|hynny|ότι|cewa|kēlā|uas|hogy|na|bahwa|go|það|quella|sing|бұл|ibyo|деп|va|quod|to|kad|dat|тоа|itu|fa|dak|e|тэр|dat|at|that|bu|هغه|که|yan|że|naquela|acea|что|lena|то|hore|izvo|اهو|že|to|taasi|nu|det där|kwamba|ки|Бу|že|bu|Bu|що|کہ|cái đó|lonto|iyẹn|ukuthi
here|hier|ketu|Hier|here|هنا|burada|hemen|тут|ovdje|тук|aquí|dinhi|Pano|quì|isit la|ovdje|her|aquí|ĉi tie|siin|tässä|ici|hjir|an seo|aquí|yma|εδώ|nan|ma aneʻi|ntawm no|itt|Ebe a|sini|anseo|hér|Qui|ing kene|Мұнда|hano|бул жерде|vir|hic|šeit|čia|hei|тука|di sini|Eto|hawn|konei|энд|hier|her|بۇ يەردە|Bu yerga|دلته|اینجا|dito|tutaj|aqui|Aici|здесь|ii|овде|Mona|pano|هتي|tu|tukaj|halkan|Ieuh|här|hapa|Ин ҷо|Монда|tady|İşte|şu ýerde|тут|یہاں|đây|Apha|Nibi|lapha
there|daar|atje|Dort|there|هناك|orada|han|там|tamo|там|allà|didto|Apo|culà|la|tamo|der|allí|tie|seal|siellä|là|dêr|an sin|alí|yno|εκεί|can|ma laila|muaj|ott|Ebe ahụ|sana|ann|þar|Là|ing kana|Ана жерде|ngaho|ошол жерде|va|ibi|tur|ten|do|таму|di sana|Ery|hemm|i reira|Тэнд|Daar|der|ئۇ يەردە|Mana|هلته|آنجا|doon|tam|lá|Acolo|там|iina|тамо|Mono|ipapo|اتي|tam|tam|halkaas|Tuh|där|hapo|Он ҷо|Тегендә|tam|Orada|ol ýerde|там|وہاں|ở đó|Pha|Nibẹ|Lapho
